Ticket_ID,Ticket_Type,Created_Date,Channel,Automation_Used,Resolution_Time_Hours,Resolved_First_Contact,Customer_Satisfaction,Resolved_Date
TKT-00001,Technical Issue,2024-01-01 00:00:00,Self-Service,No,2.58,Yes,4.0,2024-01-01 02:34:47
TKT-00002,Account Issue,2024-01-01 00:15:00,Self-Service,No,5.98,Yes,3.0,2024-01-01 06:13:48
TKT-00003,Technical Issue,2024-01-01 00:30:00,Chatbot,Yes,1.67,No,3.0,2024-01-01 02:10:12
TKT-00004,Technical Issue,2024-01-01 00:45:00,Phone,Yes,0.5,No,3.0,2024-01-01 01:15:00
TKT-00005,Account Issue,2024-01-01 01:00:00,Self-Service,No,4.13,Yes,4.0,2024-01-01 05:07:48
TKT-00006,General Inquiry,2024-01-01 01:15:00,Chatbot,No,5.72,Yes,4.0,2024-01-01 06:58:12
TKT-00007,Account Issue,2024-01-01 01:30:00,Chatbot,Yes,5.72,Yes,3.0,2024-01-01 07:13:12
TKT-00008,Account Issue,2024-01-01 01:45:00,Self-Service,No,0.81,Yes,4.0,2024-01-01 02:33:36
TKT-00009,Technical Issue,2024-01-01 02:00:00,Phone,Yes,7.69,Yes,4.0,2024-01-01 09:41:24
TKT-00010,Billing Issue,2024-01-01 02:15:00,Self-Service,Yes,0.5,Yes,5.0,2024-01-01 02:45:00
TKT-00011,Technical Issue,2024-01-01 02:30:00,Self-Service,Yes,3.46,No,1.0,2024-01-01 05:57:36
TKT-00012,Billing Issue,2024-01-01 02:45:00,Self-Service,No,6.48,Yes,5.0,2024-01-01 09:13:48
TKT-00013,Account Issue,2024-01-01 03:00:00,,Yes,4.52,Yes,3.0,2024-01-01 07:31:12
TKT-00014,Billing Issue,2024-01-01 03:15:00,Chatbot,Yes,5.81,Yes,4.0,2024-01-01 09:03:36
TKT-00015,Account Issue,2024-01-01 03:30:00,,Yes,0.77,No,5.0,2024-01-01 04:16:12
TKT-00016,Technical Issue,2024-01-01 03:45:00,Chatbot,Yes,4.04,No,1.0,2024-01-01 07:47:24
TKT-00017,Technical Issue,2024-01-01 04:00:00,Chatbot,Yes,6.26,Yes,4.0,2024-01-01 10:15:36
